epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,13754.9,0.5456,0.82902,0.48219,0.92039,0.94998,0.90014,0.93261,0.78395,0.93379,0.8841,0.9144,0.69604,0.5456,0.93012,0.49831,0.96372,0.0007129,0.0007129,0.0007129
31,14106.2,0.53389,0.79111,0.47032,0.91669,0.95638,0.90319,0.9348,0.76275,0.93111,0.87359,0.89922,0.6845,0.58533,0.94326,0.48808,0.97909,0.000703,0.000703,0.000703
32,14443.8,0.5481,0.80934,0.46965,0.91328,0.95719,0.90712,0.94107,0.78229,0.93787,0.88887,0.92321,0.70382,0.53288,0.88945,0.50254,0.94731,0.0006931,0.0006931,0.0006931
33,14831.4,0.54194,0.78804,0.47171,0.91902,0.95234,0.89013,0.93872,0.77175,0.94074,0.87106,0.9071,0.67748,0.55261,0.93827,0.51502,0.97073,0.0006832,0.0006832,0.0006832
34,15196.4,0.54502,0.81115,0.45782,0.91394,0.94535,0.90031,0.93882,0.77876,0.91877,0.87411,0.90418,0.68872,0.53672,0.90066,0.49754,0.96284,0.0006733,0.0006733,0.0006733
35,15554.6,0.52726,0.80743,0.44623,0.91128,0.91482,0.92421,0.94123,0.79687,0.93479,0.86015,0.91626,0.70587,0.53213,0.85768,0.47975,0.95489,0.0006634,0.0006634,0.0006634
36,15883.5,0.52883,0.79275,0.45254,0.91673,0.95765,0.88574,0.94019,0.78591,0.94552,0.86868,0.91963,0.71712,0.53941,0.92191,0.47673,0.97672,0.0006535,0.0006535,0.0006535
37,16257.1,0.51769,0.76445,0.43828,0.90428,0.95379,0.92246,0.93952,0.77929,0.93387,0.9029,0.91664,0.6904,0.54958,0.92299,0.47505,0.98803,0.0006436,0.0006436,0.0006436
38,16632.2,0.5183,0.79891,0.45676,0.91283,0.9632,0.90349,0.94113,0.78223,0.94019,0.87857,0.91183,0.68076,0.53623,0.87806,0.49754,0.94734,0.0006337,0.0006337,0.0006337
39,16955.4,0.53138,0.77809,0.46278,0.91068,0.95135,0.90012,0.94168,0.77962,0.94556,0.87919,0.91929,0.68264,0.55604,0.92804,0.49096,0.9559,0.0006238,0.0006238,0.0006238
40,17307.8,0.51269,0.71977,0.44492,0.90541,0.95591,0.90281,0.93954,0.79153,0.93841,0.88146,0.91321,0.68385,0.51947,0.87673,0.46866,0.95234,0.0006139,0.0006139,0.0006139
41,17682.9,0.50919,0.79889,0.43406,0.90559,0.94617,0.9153,0.94263,0.7977,0.92653,0.88922,0.91794,0.71603,0.54559,0.85557,0.48898,0.96301,0.000604,0.000604,0.000604
42,18034,0.50238,0.74736,0.43362,0.90336,0.96019,0.90816,0.94254,0.79297,0.93622,0.87672,0.91637,0.70303,0.51527,0.89041,0.47535,0.95269,0.0005941,0.0005941,0.0005941
43,18412.5,0.49861,0.71801,0.42419,0.90394,0.95575,0.90713,0.94267,0.79528,0.92264,0.87636,0.90835,0.68849,0.53561,0.85249,0.48104,0.96288,0.0005842,0.0005842,0.0005842
44,18769.7,0.49348,0.7546,0.43845,0.90439,0.94809,0.91572,0.94462,0.8037,0.92947,0.89657,0.92799,0.71199,0.51045,0.88054,0.47761,0.95223,0.0005743,0.0005743,0.0005743
45,19169.4,0.48615,0.74419,0.43933,0.89577,0.93518,0.91318,0.93506,0.79259,0.90953,0.8877,0.90316,0.69193,0.51541,0.86714,0.47694,0.95666,0.0005644,0.0005644,0.0005644
46,19538.6,0.48622,0.74351,0.41914,0.89976,0.93225,0.9185,0.94018,0.79191,0.912,0.89866,0.91543,0.69134,0.52007,0.92282,0.46697,0.96403,0.0005545,0.0005545,0.0005545
47,19925.7,0.50349,0.76734,0.43956,0.91292,0.93366,0.90928,0.94015,0.8014,0.91802,0.89422,0.92272,0.71122,0.5035,0.87645,0.4801,0.95062,0.0005446,0.0005446,0.0005446
48,20315.4,0.47968,0.69266,0.41503,0.89981,0.95059,0.9141,0.94722,0.80036,0.93172,0.89693,0.92764,0.71036,0.50678,0.91275,0.46147,0.96634,0.0005347,0.0005347,0.0005347
